Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
CO;MS;CAMPO GRANDE;GASOLINA ADITIVADA;01/03/22;6,299
CO;MS;CAMPO GRANDE;GASOLINA;01/03/22;6,597
CO;MS;CAMPO GRANDE;ETANOL;01/03/22;4,657
CO;MS;CAMPO GRANDE;GASOLINA;01/03/22;6,259
CO;MS;CAMPO GRANDE;ETANOL;01/03/22;4,649
CO;MS;CAMPO GRANDE;GASOLINA ADITIVADA;01/03/22;6,459
CO;MS;CAMPO GRANDE;GASOLINA;01/03/22;6,259
CO;MS;CAMPO GRANDE;ETANOL;01/03/22;4,46
CO;MS;NOVA ANDRADINA;GASOLINA;01/03/22;6,879
CO;MS;NOVA ANDRADINA;ETANOL;01/03/22;5,129
CO;MS;NOVA ANDRADINA;GASOLINA ADITIVADA;01/03/22;7,099
CO;MS;NOVA ANDRADINA;GASOLINA;01/03/22;6,865
CO;MS;NOVA ANDRADINA;ETANOL;01/03/22;5,015
CO;MS;TRES LAGOAS;GASOLINA;01/03/22;6,759
CO;MS;TRES LAGOAS;ETANOL;01/03/22;4,999
CO;MS;TRES LAGOAS;GASOLINA ADITIVADA;01/03/22;6,999
N;PA;CAMETA;GASOLINA;01/03/22;7
N;PA;BELEM;GASOLINA;01/03/22;6,699
N;PA;BELEM;GASOLINA ADITIVADA;01/03/22;6,799
N;PA;BELEM;GASOLINA;01/03/22;6,58
N;PA;BELEM;ETANOL;01/03/22;5,88
N;PA;BELEM;GASOLINA ADITIVADA;01/03/22;6,98
N;PA;BELEM;GASOLINA;01/03/22;6,58
N;PA;BELEM;ETANOL;01/03/22;5,68
N;PA;BELEM;GASOLINA;01/03/22;6,59
N;PA;BELEM;ETANOL;01/03/22;5,99
N;PA;BELEM;GASOLINA ADITIVADA;01/03/22;6,79
N;PA;BELEM;GASOLINA;01/03/22;6,58
N;PA;CAMETA;GASOLINA;01/03/22;7
N;PA;XINGUARA;GASOLINA;01/03/22;7,51
N;PA;XINGUARA;ETANOL;01/03/22;6,3
N;PA;XINGUARA;GASOLINA ADITIVADA;01/03/22;7,54
N;PA;XINGUARA;GASOLINA;01/03/22;7,41
N;PA;XINGUARA;ETANOL;01/03/22;6,29
N;PA;XINGUARA;GASOLINA ADITIVADA;01/03/22;7,51
N;PA;XINGUARA;GASOLINA;01/03/22;7,45
N;PA;XINGUARA;GASOLINA ADITIVADA;01/03/22;7,55
NE;PB;SOUSA;GASOLINA;01/03/22;6,68
NE;PB;SOUSA;ETANOL;01/03/22;5,29
NE;PB;SOUSA;GASOLINA ADITIVADA;01/03/22;6,78
NE;PB;SOUSA;GASOLINA;01/03/22;6,62
NE;PB;SOUSA;ETANOL;01/03/22;4,99
NE;PB;SOUSA;GASOLINA ADITIVADA;01/03/22;6,63
NE;PB;SOUSA;GASOLINA;01/03/22;6,69
NE;PB;SOUSA;ETANOL;01/03/22;5,05
NE;PB;SOUSA;GASOLINA ADITIVADA;01/03/22;6,79
NE;PB;SOUSA;GASOLINA;01/03/22;6,819
NE;PB;SOUSA;ETANOL;01/03/22;5,399
NE;PE;GARANHUNS;GASOLINA;01/03/22;6,499
NE;PE;GARANHUNS;ETANOL;01/03/22;5,399
NE;PE;GARANHUNS;GASOLINA ADITIVADA;01/03/22;6,699
NE;PE;GARANHUNS;GASOLINA;01/03/22;6,15
NE;PE;GARANHUNS;ETANOL;01/03/22;4,85
NE;PE;GARANHUNS;GASOLINA;01/03/22;6,39
NE;PE;GARANHUNS;ETANOL;01/03/22;5,19
NE;PE;GARANHUNS;GASOLINA ADITIVADA;01/03/22;6,59
NE;PE;GARANHUNS;GASOLINA;01/03/22;6,39
NE;PE;GARANHUNS;ETANOL;01/03/22;5,19
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA;01/03/22;6,14
NE;PE;JABOATAO DOS GUARARAPES;ETANOL;01/03/22;4,84
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA ADITIVADA;01/03/22;6,39
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA;01/03/22;6,38
NE;PE;JABOATAO DOS GUARARAPES;ETANOL;01/03/22;4,98
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA;01/03/22;6,34
NE;PE;JABOATAO DOS GUARARAPES;ETANOL;01/03/22;4,99
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA;01/03/22;6,089
NE;PE;JABOATAO DOS GUARARAPES;ETANOL;01/03/22;5,099
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA ADITIVADA;01/03/22;6,34
NE;PE;JABOATAO DOS GUARARAPES;GASOLINA;01/03/22;6,14
NE;PE;JABOATAO DOS GUARARAPES;ETANOL;01/03/22;4,84
NE;PE;OLINDA;GASOLINA;01/03/22;6,279
NE;PE;OLINDA;ETANOL;01/03/22;4,99
NE;PE;OLINDA;GASOLINA ADITIVADA;01/03/22;6,399
NE;PE;OLINDA;ETANOL;01/03/22;4,78
NE;PE;PAULISTA;GASOLINA;01/03/22;6,299
NE;PE;PAULISTA;ETANOL;01/03/22;4,999
NE;PE;PAULISTA;GASOLINA ADITIVADA;01/03/22;6,459
NE;PE;OLINDA;GASOLINA;01/03/22;6,299
NE;PE;OLINDA;ETANOL;01/03/22;4,999
NE;PE;OLINDA;GASOLINA;01/03/22;6,499
NE;PE;OLINDA;ETANOL;01/03/22;5,249
NE;PE;OLINDA;GASOLINA;01/03/22;6,299
NE;PE;OLINDA;ETANOL;01/03/22;4,999
NE;PE;OLINDA;GASOLINA ADITIVADA;01/03/22;6,499
NE;PE;OLINDA;GASOLINA;01/03/22;6,299
NE;PE;OLINDA;ETANOL;01/03/22;4,999
NE;PE;OLINDA;GASOLINA ADITIVADA;01/03/22;6,399
NE;PE;PAULISTA;GASOLINA;01/03/22;6,19
NE;PE;PAULISTA;ETANOL;01/03/22;4,84
NE;PE;PAULISTA;GASOLINA;01/03/22;6,19
NE;PE;PAULISTA;ETANOL;01/03/22;4,85
NE;PE;PAULISTA;GASOLINA ADITIVADA;01/03/22;6,19
NE;PE;PAULISTA;GASOLINA;01/03/22;6,399
NE;PE;PAULISTA;ETANOL;01/03/22;5,389
NE;PE;PAULISTA;GASOLINA;01/03/22;6,19
NE;PE;PAULISTA;ETANOL;01/03/22;4,85
NE;PE;PAULISTA;GASOLINA ADITIVADA;01/03/22;6,19
NE;PE;PAULISTA;GASOLINA;01/03/22;6,299
NE;PE;PAULISTA;ETANOL;01/03/22;4,999
NE;PE;PAULISTA;GASOLINA;01/03/22;6,596
NE;PE;PAULISTA;ETANOL;01/03/22;5,249
NE;PE;PAULISTA;GASOLINA ADITIVADA;01/03/22;6,696
NE;PI;PIRIPIRI;GASOLINA;01/03/22;6,96
NE;PI;PIRIPIRI;GASOLINA ADITIVADA;01/03/22;7,2
NE;PI;PIRIPIRI;GASOLINA;01/03/22;7,42
NE;PI;PIRIPIRI;ETANOL;01/03/22;5,85
NE;PI;PIRIPIRI;GASOLINA ADITIVADA;01/03/22;7,47
NE;PI;TERESINA;GASOLINA;01/03/22;7,27
NE;PI;TERESINA;ETANOL;01/03/22;5,69
NE;PI;TERESINA;GASOLINA ADITIVADA;01/03/22;7,39
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,49
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,59
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,69
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,79
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,69
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,89
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,39
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,49
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,42
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,79
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,69
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,89
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,49
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,55
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,69
S;PR;FOZ DO IGUACU;GASOLINA;01/03/22;6,79
S;PR;FOZ DO IGUACU;ETANOL;01/03/22;4,55
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;01/03/22;6,89
