Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;CE;CRATO;GASOLINA;02/02/22;6,699
NE;CE;CRATO;GASOLINA ADITIVADA;02/02/22;6,759
NE;CE;CRATO;ETANOL;02/02/22;5,599
NE;CE;CRATO;GASOLINA;02/02/22;6,59
NE;CE;CRATO;GASOLINA ADITIVADA;02/02/22;6,59
NE;CE;CRATO;ETANOL;02/02/22;5,19
NE;CE;CRATO;GASOLINA;02/02/22;6,79
NE;CE;CRATO;GASOLINA ADITIVADA;02/02/22;6,79
NE;CE;CRATO;ETANOL;02/02/22;5,5
NE;CE;CRATO;GASOLINA;02/02/22;6,69
NE;CE;CRATO;GASOLINA;02/02/22;6,59
NE;CE;CRATO;GASOLINA ADITIVADA;02/02/22;6,59
NE;CE;CRATO;ETANOL;02/02/22;5,59
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,89
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,69
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,49
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,5
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,5
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,95
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,97
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,99
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,95
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,97
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,99
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,35
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,54
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,74
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,99
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,59
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,75
NE;CE;JUAZEIRO DO NORTE;ETANOL;03/02/22;5,88
NE;CE;JUAZEIRO DO NORTE;GASOLINA;03/02/22;6,69
NE;CE;JUAZEIRO DO NORTE;GASOLINA ADITIVADA;03/02/22;6,85
NE;CE;LIMOEIRO DO NORTE;GASOLINA ADITIVADA;01/02/22;7,149
NE;CE;LIMOEIRO DO NORTE;ETANOL;01/02/22;5,799
