Regiao - Sigla;Estado - Sigla;Municipio;Produto;Data da Coleta;Valor de Venda
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,98
N;PA;BELEM;GASOLINA;03/01/22;6,579
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,899
N;PA;BELEM;GASOLINA;03/01/22;6,599
N;PA;BELEM;ETANOL;03/01/22;6,599
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;7,349
N;PA;BELEM;GASOLINA;03/01/22;6,699
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,899
N;PA;BELEM;GASOLINA;03/01/22;6,65
N;PA;BELEM;ETANOL;03/01/22;6,45
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,87
N;PA;BELEM;GASOLINA;03/01/22;6,589
N;PA;BELEM;ETANOL;03/01/22;5,959
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,629
N;PA;BELEM;GASOLINA;03/01/22;6,599
N;PA;BELEM;ETANOL;03/01/22;5,999
N;PA;BELEM;GASOLINA;03/01/22;6,658
N;PA;BELEM;ETANOL;03/01/22;6,348
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,858
N;PA;BELEM;GASOLINA;03/01/22;6,57
NE;PB;BAYEUX;GASOLINA;03/01/22;6,619
NE;PB;BAYEUX;ETANOL;03/01/22;5,63
NE;PB;BAYEUX;GASOLINA;03/01/22;6,49
NE;PB;BAYEUX;ETANOL;03/01/22;5,09
NE;PB;BAYEUX;GASOLINA;03/01/22;6,669
NE;PB;BAYEUX;GASOLINA ADITIVADA;03/01/22;6,769
NE;PB;BAYEUX;GASOLINA;03/01/22;6,47
NE;PB;BAYEUX;ETANOL;03/01/22;5,09
NE;PB;CAMPINA GRANDE;GASOLINA;03/01/22;6,459
NE;PB;CAMPINA GRANDE;ETANOL;03/01/22;4,99
NE;PB;CAMPINA GRANDE;GASOLINA;03/01/22;6,499
NE;PB;CAMPINA GRANDE;ETANOL;03/01/22;4,999
NE;PB;CAMPINA GRANDE;GASOLINA ADITIVADA;03/01/22;6,649
NE;PB;CAMPINA GRANDE;GASOLINA;03/01/22;6,499
NE;PB;CAMPINA GRANDE;ETANOL;03/01/22;4,999
NE;PB;CAMPINA GRANDE;GASOLINA ADITIVADA;03/01/22;6,659
NE;PE;BELO JARDIM;GASOLINA;03/01/22;6,589
NE;PE;BELO JARDIM;ETANOL;03/01/22;5,359
NE;PE;BELO JARDIM;GASOLINA;03/01/22;6,58
NE;PE;BELO JARDIM;ETANOL;03/01/22;5,39
NE;PE;BELO JARDIM;GASOLINA;03/01/22;6,599
NE;PE;BELO JARDIM;ETANOL;03/01/22;5,299
NE;PE;BELO JARDIM;GASOLINA ADITIVADA;03/01/22;6,699
NE;PE;BELO JARDIM;GASOLINA;03/01/22;6,599
NE;PE;BELO JARDIM;ETANOL;03/01/22;5,699
NE;PE;BELO JARDIM;GASOLINA ADITIVADA;03/01/22;6,699
NE;PE;GOIANA;GASOLINA;03/01/22;6,43
NE;PE;GOIANA;ETANOL;03/01/22;4,99
NE;PE;GOIANA;GASOLINA;03/01/22;6,599
NE;PE;GOIANA;ETANOL;03/01/22;5,199
NE;PE;GOIANA;GASOLINA ADITIVADA;03/01/22;6,699
NE;PE;GOIANA;GASOLINA;03/01/22;6,599
NE;PE;GOIANA;ETANOL;03/01/22;5,299
NE;PE;GOIANA;GASOLINA ADITIVADA;03/01/22;6,799
NE;PE;SANTA CRUZ DO CAPIBARIBE;GASOLINA;03/01/22;6,49
NE;PE;SANTA CRUZ DO CAPIBARIBE;ETANOL;03/01/22;5,19
NE;PE;SANTA CRUZ DO CAPIBARIBE;GASOLINA ADITIVADA;03/01/22;6,54
NE;PI;TERESINA;GASOLINA;03/01/22;6,699
NE;PI;TERESINA;ETANOL;03/01/22;5,399
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;6,699
NE;PI;TERESINA;GASOLINA;03/01/22;6,79
NE;PI;TERESINA;ETANOL;03/01/22;5,499
NE;PI;TERESINA;GASOLINA;03/01/22;6,739
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;6,739
NE;PI;TERESINA;GASOLINA;03/01/22;6,797
NE;PI;TERESINA;ETANOL;03/01/22;5,497
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;7,097
NE;PI;TERESINA;GASOLINA;03/01/22;6,699
NE;PI;TERESINA;ETANOL;03/01/22;5,199
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;6,699
NE;PI;TERESINA;GASOLINA;03/01/22;6,78
NE;PI;TERESINA;ETANOL;03/01/22;5,49
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;7,08
NE;PI;TERESINA;GASOLINA;03/01/22;6,79
NE;PI;TERESINA;ETANOL;03/01/22;5,49
NE;PI;TERESINA;GASOLINA ADITIVADA;03/01/22;6,99
S;PR;CASCAVEL;GASOLINA;03/01/22;6,79
S;PR;CASCAVEL;ETANOL;03/01/22;5,43
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;CASCAVEL;GASOLINA;03/01/22;6,79
S;PR;CASCAVEL;ETANOL;03/01/22;5,49
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,46
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,47
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,87
S;PR;CASCAVEL;GASOLINA;03/01/22;6,87
S;PR;CASCAVEL;ETANOL;03/01/22;5,57
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,97
S;PR;CASCAVEL;GASOLINA;03/01/22;6,78
S;PR;CASCAVEL;ETANOL;03/01/22;5,58
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,88
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,47
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,47
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,87
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,47
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,87
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,46
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;CASCAVEL;GASOLINA;03/01/22;6,77
S;PR;CASCAVEL;ETANOL;03/01/22;5,47
S;PR;CASCAVEL;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,49
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;4,99
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,74
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,79
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,09
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,45
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;4,89
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,47
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,79
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,09
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,89
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,67
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,15
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,79
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,67
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,15
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,79
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,67
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,15
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,79
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,45
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,15
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,45
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,49
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,09
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,52
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,43
S;PR;FOZ DO IGUACU;ETANOL;03/01/22;5,19
S;PR;FOZ DO IGUACU;GASOLINA ADITIVADA;03/01/22;6,43
S;PR;FOZ DO IGUACU;GASOLINA;03/01/22;6,43
